name,address,type,gauges,bribe_ca
ssAMM-USDC/FRAX,0x01d806052D1D3926b4456567144375B192bF41b7,ssAMM,0xFc2CE1Db11eCF01D0b39af8f682eac435Dca2394,0x48bb2B98b1c0Ef0516759bf628Ff7201893a586a
ssAMM-USDt/USDC,0x1CF7F397af73F6206055C69205fC9cb7D69187A0,ssAMM,0xba93D4D011440779474cED79846ad34567242429,0x5f30e117c152Ac35911a38B33466D88e1E919B14
ssAMM-MAI/USDC,0x39D7Fa4567f1E989c04867FC8D7D6882A1Bdfb75,ssAMM,0xc200e7a655D8e0E0FabA390102898917541A96de,0x23d37630028e831247Ad26f0b11A28f5C3B43aE8
vsAMM-BTC.b/WAVAX,0x3b7FE0276915bbe081C178D68be472286F501D59,vsAMM,0x0CE8a6Af9A8CAD60B0Cb5e580Ba7BB708b601e98,0xA95397d5f2EBe692c417B600430b3073E8a21F3E
vsAMM-fBOMB/SNEK,0x3CBA28Bd1e2e412Ca59b07941d875E9489598Ac6,vsAMM,0xCc9D96390818D669A4f0Af77f304A28eB4d429AB,0xb461E7AabE801ee7eb6AF67392721b746C109590
vsAMM-TAROT/USDC,0x469bBE944AA42ac4B64dBda787BBE6946937B484,vsAMM,0x6588Fb65a8aFe494B5854E88Fcfd2F3Fb9534e91,0xBE9A695db6FDF2A923eb7ae07d9c7f1BC69B2575
vsAMM-OATH/WAVAX,0x4Ea0708264B5419f16511ED2a1c46B0C55f38d1a,vsAMM,0x4032176d2364b730A5BD461b9f194738a2179d9a,0xaf351DF96C727404fC1f3b0982F87b09b0C9836c
vsAMM-YFX/USDC,0x580798Fa09622151C50b1044532b416a2426c579,vsAMM,0x2Fa9E51BF6aFaa43bF1B66A38b0AAfaAA9097fab,0xe901C83A19EAd0Ae6FbC258D5F9f6389052D32dd
vsAMM-WAVAX/SNEK,0x5b9A790E602aDFA8c127c480a511AB9f90807595,vsAMM,0x1768040D19c29303d467A40E624F171f6e069633,0x1597E96AA49c9ABd765C285D6C3Fe210143C1869
vsAMM-GRAIN/USDC,0x656f946f413C08634FA489B4B40E09350dAaA930,vsAMM,0x2463Cf8990e968a8210A31F5E66771DBF13fE5F8,0x6d4AB45e0b9e2F80385b3461f29febE69c98ef3B
vsAMM-gmdUSDC/YFX,0x6DC41095cc788cDDC71eF35Ea90723F92dA45959,vsAMM,0x0cb5FA94142C3785DB6B4340AcbEF9e6520E18A7,0xdD5D321eC5A2b6c942630ba60133CC56a04eF655
ssAMM-USDC.e/USDC,0x6Ee94Bba2658c4dE8bE091c005F62D36b28463aE,ssAMM,0xdB64FC90a3359bcb5865566981208AdE0E174670,0x56aD68DF6797C6402ACCbe6713EffB06Af0B2398
ssAMM-DOLA/USDC,0x7680D9F07f80B11A7a96E4443398245D917998e6,ssAMM,0xb5EdEABdA70744184A30ae4b9A18860FF8a0B1EA,0xda88EDd4dCCa0C644E3865C4bAb3FB79c90691f2
vsAMM-WAVAX/DEUS,0x81d230D1A8A9dB0Ca319a346C1412383F8AF4764,vsAMM,0x32C80eCAe6Faac781d2f5bb6367b9de01734f931,0xc29f3C12453011daf81714315B13AA2ee0dc6064
vsAMM-WAVAX/neadSnek,0x82360748aC3D7045812c6783f355b41193d3492E,vsAMM,0x769b5BD70C5cBF7b75c399Ec7d76E81649a6DcA2,0xdF7588FD65B8e3fF65e2Dedd2063249EAb01B986
vsAMM-WETH.e/fBOMB,0x88bb5Ed8A83b87D08d205F6Ebec4459Bbfad8363,vsAMM,0x4FA571D02ad47052C3aA06BE79aB7afA448622Ca,0x74F28d8e8c8976C8919e6BA27362956a5Fb08732
vsAMM-WETH.e/WAVAX,0x8D2D4464CB5c65Cbda6188d6c7653e0A3ad28828,vsAMM,0xb5A69207C5c9308d4fe5DB939F593833EE4C643F,0x16dec9Efe09b12892BDE548DD1dC960a5E000859
vsAMM-USDC/SNEK,0x8d979AF11481E0BddfBB0cA7D6D8E20Ec6855f00,vsAMM,0x8322487EF8e2159d21aaF3bBB51826031821E1a9,0x4161fE00C5A314f829A0ec8bf853dC36b0A1b34f
ssAMM-BTC.b/WBTC.e,0xaDb32De92151D0769d214445B6D8B905CFF17CCF,ssAMM,0x61772c2dF7c02384cEA3E101B999E899D78626f3,0x2573Ecf8B85D6897B0b7Fc87C4d2a906e4E3f0A0
vsAMM-FS/USDC,0xB3F39208E9dDA527275B59a3935e78DFE9Dde042,vsAMM,0x9c805901c5C1299E81b9D97DEe7D2d386BC51aa8,0xCb62f3256Ea28E22a10B8D6aa0fc0744F8926244
